Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,-0.00018,,
0.2,-0.00164,,
0.3,-0.00376,,
0.4,-0.00553,,
0.5,-0.00771,,
0.6,-0.00873,,
0.7,-0.01179,,
0.8,-0.01250,,
0.9,-0.01200,,
1.0,-0.01096,,
1.1,-0.00981,,
1.2,-0.00875,,
1.3,-0.00726,,
1.4,-0.00573,,
1.5,-0.00701,,
1.6,-0.00847,,
1.7,-0.01002,,
1.8,-0.01357,,
1.9,-0.01802,,
2.0,-0.02404,,
2.1,-0.03123,,
2.2,-0.03663,,
2.3,-0.04209,,
2.4,-0.04597,,
2.5,-0.04880,,
2.6,-0.05161,,
2.7,-0.05365,,
2.8,-0.05454,,
2.9,-0.05419,,
3.0,-0.05197,,
3.1,-0.04899,,
3.2,-0.04524,,
3.3,-0.04012,,
3.4,-0.03405,,
3.5,-0.02867,,
3.6,-0.02214,,
3.7,-0.01555,,
3.8,-0.00950,,
3.9,-0.00425,,
4.0,-0.00121,,
4.1,0.00363,,
4.2,0.00637,,
4.3,0.00901,,
4.4,0.01067,,
4.5,0.00961,,
4.6,0.00708,,
4.7,0.00320,,
4.8,-0.00187,,
4.9,-0.00731,,
5.0,-0.01396,,
5.1,-0.02285,,
5.2,-0.03239,,
5.3,-0.04235,,
5.4,-0.05124,,
5.5,-0.05967,,
5.6,-0.06602,,
5.7,-0.07088,,
5.8,-0.07535,,
5.9,-0.08003,,
6.0,-0.08127,,
6.1,-0.08134,,
6.2,-0.08151,,
6.3,-0.08248,,
6.4,-0.08257,,
6.5,-0.08359,,
6.6,-0.08381,,
6.7,-0.08367,,
6.8,-0.08409,,
6.9,-0.08553,,
7.0,-0.08684,,
7.1,-0.08873,,
7.2,-0.08892,,
7.3,-0.08957,,
7.4,-0.08789,,
7.5,-0.08581,,
7.6,-0.08442,,
7.7,-0.08029,,
7.8,-0.07507,,
7.9,-0.06973,,
8.0,-0.06282,,
8.1,-0.05697,,
8.2,-0.05087,,
8.3,-0.04516,,
8.4,-0.04082,,
8.5,-0.03630,,
8.6,-0.03208,,
8.7,-0.02776,,
8.8,-0.02511,,
8.9,-0.02428,,
9.0,-0.02590,,
9.1,-0.02682,,
9.2,-0.03069,,
9.3,-0.03595,,
9.4,-0.04167,,
