Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 400.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Micrometer,
0.0,0.00000,,
0.1,0.00886,,
0.2,0.01563,,
0.3,0.02131,,
0.4,0.02388,,
0.5,0.02314,,
0.6,0.01920,,
0.7,0.01106,,
0.8,0.00110,,
0.9,-0.00794,,
1.0,-0.01731,,
1.1,-0.02434,,
1.2,-0.03043,,
1.3,-0.03768,,
1.4,-0.04453,,
1.5,-0.05148,,
1.6,-0.05812,,
1.7,-0.06690,,
1.8,-0.07965,,
1.9,-0.09507,,
2.0,-0.11162,,
2.1,-0.12774,,
2.2,-0.14195,,
2.3,-0.15492,,
2.4,-0.16644,,
2.5,-0.17716,,
2.6,-0.18617,,
2.7,-0.19310,,
2.8,-0.19921,,
2.9,-0.20526,,
3.0,-0.21032,,
3.1,-0.21397,,
3.2,-0.21477,,
3.3,-0.21281,,
3.4,-0.20965,,
3.5,-0.20423,,
3.6,-0.19946,,
3.7,-0.19618,,
3.8,-0.19210,,
3.9,-0.18934,,
4.0,-0.18698,,
4.1,-0.18448,,
4.2,-0.18355,,
4.3,-0.18433,,
4.4,-0.18677,,
4.5,-0.19139,,
4.6,-0.19700,,
4.7,-0.20287,,
4.8,-0.20927,,
4.9,-0.21299,,
5.0,-0.21384,,
5.1,-0.21389,,
5.2,-0.21299,,
5.3,-0.21311,,
5.4,-0.21391,,
5.5,-0.21582,,
5.6,-0.21833,,
5.7,-0.22245,,
5.8,-0.22662,,
5.9,-0.22934,,
6.0,-0.22991,,
6.1,-0.23075,,
6.2,-0.23446,,
6.3,-0.23958,,
6.4,-0.24722,,
6.5,-0.25646,,
6.6,-0.26736,,
6.7,-0.28182,,
6.8,-0.29662,,
6.9,-0.31003,,
7.0,-0.32387,,
7.1,-0.33641,,
7.2,-0.34553,,
7.3,-0.35231,,
7.4,-0.35749,,
7.5,-0.36157,,
7.6,-0.36493,,
7.7,-0.36516,,
7.8,-0.36450,,
7.9,-0.36487,,
8.0,-0.36393,,
8.1,-0.36250,,
8.2,-0.35973,,
8.3,-0.35593,,
8.4,-0.35265,,
8.5,-0.34936,,
8.6,-0.34580,,
8.7,-0.34446,,
8.8,-0.34455,,
8.9,-0.34555,,
9.0,-0.34645,,
9.1,-0.34803,,
9.2,-0.35067,,
9.3,-0.35514,,
9.4,-0.36109,,
