Scan Parameters

Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE


Analytical Results

Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Left Height,75.8 um,0.0 um,131.9 um,0.0 um,7.14642 um
Left Height,277.7 um,0.0 um,333.8 um,0.0 um,7.26313 um
Left Height,475.7 um,0.0 um,532.1 um,0.0 um,8.23528 um
Left Height,677.6 um,0.0 um,733.6 um,0.0 um,8.66745 um
Left Height,879.7 um,0.0 um,936.3 um,0.0 um,9.48815 um
Left Height,1080.0 um,0.0 um,1136.8 um,0.0 um,8.68383 um
Left Height,1280.4 um,0.0 um,1337.7 um,0.0 um,8.72261 um
Left Height,1481.6 um,0.0 um,1537.8 um,0.0 um,8.71207 um
Left Height,1679.9 um,0.0 um,1736.0 um,0.0 um,9.44716 um
Left Height,1879.4 um,0.0 um,1933.7 um,0.0 um,8.63705 um
Left Height,2075.9 um,0.0 um,2131.7 um,0.0 um,8.34076 um
Left Height,2276.2 um,0.0 um,2332.5 um,0.0 um,8.87000 um
Left Height,2475.3 um,0.0 um,2533.5 um,0.0 um,8.06809 um
Left Height,2677.9 um,0.0 um,2734.6 um,0.0 um,9.16203 um
Left Height,2877.5 um,0.0 um,2936.3 um,0.0 um,8.14767 um
Left Height,3083.9 um,0.0 um,3140.5 um,0.0 um,7.38116 um
Left Height,3284.7 um,0.0 um,3340.4 um,0.0 um,8.13834 um
Left Height,3482.9 um,0.0 um,3538.4 um,0.0 um,7.74680 um
Left Height,3679.6 um,0.0 um,3737.0 um,0.0 um,8.72328 um
Left Height,3878.5 um,0.0 um,3935.4 um,0.0 um,8.62303 um
Right Height,131.9 um,0.0 um,188.1 um,0.0 um,9.13962 um
Right Height,333.8 um,0.0 um,389.9 um,0.0 um,9.04925 um
Right Height,532.1 um,0.0 um,588.5 um,0.0 um,8.37963 um
Right Height,733.6 um,0.0 um,789.5 um,0.0 um,7.14104 um
Right Height,936.3 um,0.0 um,992.9 um,0.0 um,8.43945 um
Right Height,1136.8 um,0.0 um,1193.6 um,0.0 um,9.07741 um
Right Height,1337.7 um,0.0 um,1395.0 um,0.0 um,9.08887 um
Right Height,1537.8 um,0.0 um,1594.1 um,0.0 um,8.33416 um
Right Height,1736.0 um,0.0 um,1792.0 um,0.0 um,8.38150 um
Right Height,1933.7 um,0.0 um,1988.0 um,0.0 um,8.11753 um
Right Height,2131.7 um,0.0 um,2187.4 um,0.0 um,9.41402 um
Right Height,2332.5 um,0.0 um,2388.8 um,0.0 um,9.99693 um
Right Height,2533.5 um,0.0 um,2591.7 um,0.0 um,8.89583 um
Right Height,2734.6 um,0.0 um,2791.3 um,0.0 um,8.21198 um
Right Height,2936.3 um,0.0 um,2995.1 um,0.0 um,9.58063 um
Right Height,3140.5 um,0.0 um,3197.1 um,0.0 um,9.74365 um
Right Height,3340.4 um,0.0 um,3396.0 um,0.0 um,9.66459 um
Right Height,3538.4 um,0.0 um,3594.0 um,0.0 um,8.89905 um
Right Height,3737.0 um,0.0 um,3794.4 um,0.0 um,8.73432 um
Right Height,3935.4 um,0.0 um,3992.2 um,0.0 um,8.94015 um
Trace Width,75.9 um,0.0 um,188.0 um,0.0 um,112.1 um
Trace Width,277.8 um,0.0 um,389.8 um,0.0 um,112.0 um
Trace Width,475.8 um,0.0 um,588.4 um,0.0 um,112.6 um
Trace Width,677.7 um,0.0 um,789.4 um,0.0 um,111.7 um
Trace Width,879.8 um,0.0 um,992.8 um,0.0 um,113.0 um
Trace Width,1080.1 um,0.0 um,1193.5 um,0.0 um,113.4 um
Trace Width,1280.5 um,0.0 um,1394.9 um,0.0 um,114.4 um
Trace Width,1481.7 um,0.0 um,1594.0 um,0.0 um,112.3 um
Trace Width,1680.0 um,0.0 um,1791.9 um,0.0 um,111.9 um
Trace Width,1879.5 um,0.0 um,1987.9 um,0.0 um,108.4 um
Trace Width,2076.0 um,0.0 um,2187.3 um,0.0 um,111.3 um
Trace Width,2276.3 um,0.0 um,2388.7 um,0.0 um,112.4 um
Trace Width,2475.4 um,0.0 um,2591.6 um,0.0 um,116.2 um
Trace Width,2678.0 um,0.0 um,2791.2 um,0.0 um,113.2 um
Trace Width,2877.6 um,0.0 um,2995.0 um,0.0 um,117.4 um
Trace Width,3084.0 um,0.0 um,3197.0 um,0.0 um,113.0 um
Trace Width,3284.8 um,0.0 um,3395.9 um,0.0 um,111.1 um
Trace Width,3483.0 um,0.0 um,3593.9 um,0.0 um,110.9 um
Trace Width,3679.7 um,0.0 um,3794.3 um,0.0 um,114.6 um
Trace Width,3878.6 um,0.0 um,3992.1 um,0.0 um,113.5 um
Aspect Ratio,75.9 um,0.0 um,188.0 um,0.0 um,0.0737
Aspect Ratio,277.8 um,0.0 um,389.8 um,0.0 um,0.0751
Aspect Ratio,475.8 um,0.0 um,588.4 um,0.0 um,0.0761
Aspect Ratio,677.7 um,0.0 um,789.4 um,0.0 um,0.0743
Aspect Ratio,879.8 um,0.0 um,992.8 um,0.0 um,0.0773
Aspect Ratio,1080.1 um,0.0 um,1193.5 um,0.0 um,0.0758
Aspect Ratio,1280.5 um,0.0 um,1394.9 um,0.0 um,0.0749
Aspect Ratio,1481.7 um,0.0 um,1594.0 um,0.0 um,0.0790
Aspect Ratio,1680.0 um,0.0 um,1791.9 um,0.0 um,0.0780
Aspect Ratio,1879.5 um,0.0 um,1987.9 um,0.0 um,0.0765
Aspect Ratio,2076.0 um,0.0 um,2187.3 um,0.0 um,0.0819
Aspect Ratio,2276.3 um,0.0 um,2388.7 um,0.0 um,0.0777
Aspect Ratio,2475.4 um,0.0 um,2591.6 um,0.0 um,0.0758
Aspect Ratio,2678.0 um,0.0 um,2791.2 um,0.0 um,0.0805
Aspect Ratio,2877.6 um,0.0 um,2995.0 um,0.0 um,0.0755
Aspect Ratio,3084.0 um,0.0 um,3197.0 um,0.0 um,0.0798
Aspect Ratio,3284.8 um,0.0 um,3395.9 um,0.0 um,0.0820
Aspect Ratio,3483.0 um,0.0 um,3593.9 um,0.0 um,0.0793
