Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Left Height,83.8 um,0.0 um,149.3 um,0.0 um,10.22189 um
Left Height,284.5 um,0.0 um,349.2 um,0.0 um,7.71733 um
Left Height,484.8 um,0.0 um,548.3 um,0.0 um,10.07759 um
Left Height,685.5 um,0.0 um,751.3 um,0.0 um,10.29230 um
Left Height,888.5 um,0.0 um,952.9 um,0.0 um,10.33376 um
Left Height,1089.9 um,0.0 um,1154.5 um,0.0 um,11.04811 um
Left Height,1292.4 um,0.0 um,1356.8 um,0.0 um,10.14815 um
Left Height,1491.8 um,0.0 um,1555.7 um,0.0 um,10.43007 um
Left Height,1691.7 um,0.0 um,1754.9 um,0.0 um,11.68194 um
Left Height,1889.0 um,0.0 um,1952.0 um,0.0 um,9.73802 um
Left Height,2089.0 um,0.0 um,2152.0 um,0.0 um,10.49280 um
Left Height,2287.6 um,0.0 um,2352.6 um,0.0 um,9.05946 um
Left Height,2487.6 um,0.0 um,2553.6 um,0.0 um,10.31711 um
Left Height,2689.5 um,0.0 um,2753.6 um,0.0 um,9.04852 um
Left Height,2890.9 um,0.0 um,2957.3 um,0.0 um,11.35395 um
Left Height,3096.9 um,0.0 um,3160.4 um,0.0 um,10.00403 um
Left Height,3296.9 um,0.0 um,3360.2 um,0.0 um,8.79692 um
Left Height,3490.8 um,0.0 um,3557.1 um,0.0 um,10.74262 um
Left Height,3691.8 um,0.0 um,3756.4 um,0.0 um,9.89531 um
Left Height,3892.7 um,0.0 um,3958.5 um,0.0 um,8.71004 um
Right Height,149.3 um,0.0 um,214.7 um,0.0 um,11.74085 um
Right Height,349.2 um,0.0 um,413.8 um,0.0 um,10.39578 um
Right Height,548.3 um,0.0 um,611.8 um,0.0 um,11.35400 um
Right Height,751.3 um,0.0 um,817.1 um,0.0 um,11.88130 um
Right Height,952.9 um,0.0 um,1017.2 um,0.0 um,11.92918 um
Right Height,1154.5 um,0.0 um,1219.0 um,0.0 um,11.10067 um
Right Height,1356.8 um,0.0 um,1421.1 um,0.0 um,12.46145 um
Right Height,1555.7 um,0.0 um,1619.6 um,0.0 um,12.23871 um
Right Height,1754.9 um,0.0 um,1818.0 um,0.0 um,11.67116 um
Right Height,1952.0 um,0.0 um,2014.9 um,0.0 um,12.64712 um
Right Height,2152.0 um,0.0 um,2215.0 um,0.0 um,10.35841 um
Right Height,2352.6 um,0.0 um,2417.5 um,0.0 um,11.98323 um
Right Height,2553.6 um,0.0 um,2619.6 um,0.0 um,13.33932 um
Right Height,2753.6 um,0.0 um,2817.7 um,0.0 um,12.21549 um
Right Height,2957.3 um,0.0 um,3023.6 um,0.0 um,11.36983 um
Right Height,3160.4 um,0.0 um,3223.8 um,0.0 um,14.45219 um
Right Height,3360.2 um,0.0 um,3423.5 um,0.0 um,11.34887 um
Right Height,3557.1 um,0.0 um,3623.3 um,0.0 um,11.62980 um
Right Height,3756.4 um,0.0 um,3821.0 um,0.0 um,11.00177 um
Right Height,3958.5 um,0.0 um,4024.3 um,0.0 um,12.01642 um
Trace Width,83.9 um,0.0 um,214.6 um,0.0 um,130.7 um
Trace Width,284.6 um,0.0 um,413.7 um,0.0 um,129.1 um
Trace Width,484.9 um,0.0 um,611.7 um,0.0 um,126.8 um
Trace Width,685.6 um,0.0 um,817.0 um,0.0 um,131.4 um
Trace Width,888.6 um,0.0 um,1017.1 um,0.0 um,128.5 um
Trace Width,1090.0 um,0.0 um,1218.9 um,0.0 um,128.9 um
Trace Width,1292.5 um,0.0 um,1421.0 um,0.0 um,128.5 um
Trace Width,1491.9 um,0.0 um,1619.5 um,0.0 um,127.6 um
Trace Width,1691.8 um,0.0 um,1817.9 um,0.0 um,126.1 um
Trace Width,1889.1 um,0.0 um,2014.8 um,0.0 um,125.7 um
Trace Width,2089.1 um,0.0 um,2214.9 um,0.0 um,125.8 um
Trace Width,2287.7 um,0.0 um,2417.4 um,0.0 um,129.7 um
Trace Width,2487.7 um,0.0 um,2619.5 um,0.0 um,131.8 um
Trace Width,2689.6 um,0.0 um,2817.6 um,0.0 um,128.0 um
Trace Width,2891.0 um,0.0 um,3023.5 um,0.0 um,132.5 um
Trace Width,3097.0 um,0.0 um,3223.7 um,0.0 um,126.7 um
Trace Width,3297.0 um,0.0 um,3423.4 um,0.0 um,126.4 um
Trace Width,3490.9 um,0.0 um,3623.2 um,0.0 um,132.3 um
Trace Width,3691.9 um,0.0 um,3820.9 um,0.0 um,129.0 um
Trace Width,3892.8 um,0.0 um,4024.2 um,0.0 um,131.4 um
Aspect Ratio,83.9 um,0.0 um,214.6 um,0.0 um,0.0879
Aspect Ratio,284.6 um,0.0 um,413.7 um,0.0 um,0.0792
Aspect Ratio,484.9 um,0.0 um,611.7 um,0.0 um,0.0824
Aspect Ratio,685.6 um,0.0 um,817.0 um,0.0 um,0.0833
Aspect Ratio,888.6 um,0.0 um,1017.1 um,0.0 um,0.0815
Aspect Ratio,1090.0 um,0.0 um,1218.9 um,0.0 um,0.0853
Aspect Ratio,1292.5 um,0.0 um,1421.0 um,0.0 um,0.0855
Aspect Ratio,1491.9 um,0.0 um,1619.5 um,0.0 um,0.0824
Aspect Ratio,1691.8 um,0.0 um,1817.9 um,0.0 um,0.0912
Aspect Ratio,1889.1 um,0.0 um,2014.8 um,0.0 um,0.0902
Aspect Ratio,2089.1 um,0.0 um,2214.9 um,0.0 um,0.0855
Aspect Ratio,2287.7 um,0.0 um,2417.4 um,0.0 um,0.0866
Aspect Ratio,2487.7 um,0.0 um,2619.5 um,0.0 um,0.0867
Aspect Ratio,2689.6 um,0.0 um,2817.6 um,0.0 um,0.0862
Aspect Ratio,2891.0 um,0.0 um,3023.5 um,0.0 um,0.0872
Aspect Ratio,3097.0 um,0.0 um,3223.7 um,0.0 um,0.0887
Aspect Ratio,3297.0 um,0.0 um,3423.4 um,0.0 um,0.0908
Aspect Ratio,3490.9 um,0.0 um,3623.2 um,0.0 um,0.0914
Aspect Ratio,3691.9 um,0.0 um,3820.9 um,0.0 um,0.0863
Aspect Ratio,3892.8 um,0.0 um,4024.2 um,0.0 um,0.0846
Spacing,214.6 um,0.0 um,284.6 um,0.0 um,69.8 um
Spacing,413.7 um,0.0 um,484.9 um,0.0 um,71.0 um
