Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,4200.0 um
Duration,140 sec
Resolution,0.100 um/sample
Force,6.00 mg
Measurement Range,524 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 0.0 um Width: 0.0 um
M. Cursor,Pos: 4200.0 um Width: 0.0 um
Title,Etch process DOE

Analytical Results
Function,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width,Result
Left Height,86.1 um,0.0 um,153.6 um,0.0 um,7.45602 um
Left Height,286.8 um,0.0 um,351.6 um,0.0 um,8.72604 um
Left Height,487.9 um,0.0 um,550.7 um,0.0 um,9.75860 um
Left Height,690.6 um,0.0 um,754.2 um,0.0 um,11.32525 um
Left Height,892.4 um,0.0 um,959.3 um,0.0 um,11.89210 um
Left Height,1092.0 um,0.0 um,1156.6 um,0.0 um,11.40403 um
Left Height,1296.8 um,0.0 um,1360.3 um,0.0 um,11.41995 um
Left Height,1496.9 um,0.0 um,1559.8 um,0.0 um,11.76554 um
Left Height,1695.1 um,0.0 um,1759.8 um,0.0 um,9.09162 um
Left Height,1889.7 um,0.0 um,1956.5 um,0.0 um,12.17194 um
Left Height,2088.9 um,0.0 um,2154.2 um,0.0 um,12.52382 um
Left Height,2292.2 um,0.0 um,2356.2 um,0.0 um,11.41363 um
Left Height,2491.2 um,0.0 um,2557.5 um,0.0 um,11.90431 um
Left Height,2694.7 um,0.0 um,2758.8 um,0.0 um,9.85843 um
Left Height,2894.7 um,0.0 um,2961.7 um,0.0 um,10.24396 um
Left Height,3099.9 um,0.0 um,3164.7 um,0.0 um,11.73046 um
Left Height,3301.4 um,0.0 um,3365.1 um,0.0 um,11.70577 um
Left Height,3498.1 um,0.0 um,3562.2 um,0.0 um,9.38908 um
Left Height,3697.5 um,0.0 um,3761.4 um,0.0 um,8.73574 um
Left Height,3896.3 um,0.0 um,3963.1 um,0.0 um,11.33429 um
Right Height,153.6 um,0.0 um,221.1 um,0.0 um,10.39109 um
Right Height,351.6 um,0.0 um,416.4 um,0.0 um,10.14854 um
