

Sun Jul 27 18:53:28 2014    prof.txt

         175065414 function calls (174943030 primitive calls) in 456.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.113    0.113  456.657  456.657 dektakWithoutMain.py:1(<module>)
   108516  266.936    0.002  385.992    0.004 dektakWithoutMain.py:148(FindThresholdLine)
      420    0.187    0.000  198.107    0.472 dektakWithoutMain.py:497(scanning_threshold_positive)
      420    0.203    0.000  188.282    0.448 dektakWithoutMain.py:520(scanning_threshold_negative)
167566987/167566674  115.737    0.000  115.738    0.000 {len}
        1    0.000    0.000   48.509   48.509 /usr/lib/pymodules/python2.7/matplotlib/pyplot.py:125(show)
        1    0.000    0.000   48.509   48.509 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:69(__call__)
        1    0.000    0.000   39.155   39.155 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:68(mainloop)
        1    0.000    0.000   39.155   39.155 /usr/lib/python2.7/lib-tk/Tkinter.py:362(mainloop)
        1   36.948   36.948   39.155   39.155 {built-in method mainloop}
  822/742    1.317    0.002   11.780    0.016 {built-in method call}
   112/16    0.001    0.000   10.828    0.677 /usr/lib/python2.7/lib-tk/Tkinter.py:1468(__call__)
        8    0.000    0.000    9.354    1.169 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:561(show)
        8    0.000    0.000    8.830    1.104 /usr/lib/python2.7/lib-tk/Tkinter.py:963(update)
        8    0.000    0.000    8.620    1.077 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:259(resize)
        8    0.000    0.000    8.570    1.071 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:347(draw)
        8    0.000    0.000    8.335    1.042 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:429(draw)
   7814/8    0.055    0.000    8.323    1.040 /usr/lib/pymodules/python2.7/matplotlib/artist.py:52(draw_wrapper)
        8    0.001    0.000    8.322    1.040 /usr/lib/pymodules/python2.7/matplotlib/figure.py:928(draw)
       47    0.015    0.000    8.303    0.177 /usr/lib/pymodules/python2.7/matplotlib/axes.py:1972(draw)
      420    0.052    0.000    7.657    0.018 dektakWithoutMain.py:544(translate_points)
     2956    0.053    0.000    7.597    0.003 /usr/lib/pymodules/python2.7/matplotlib/axes.py:3865(plot)
     9346    0.453    0.000    6.019    0.001 /usr/lib/pymodules/python2.7/matplotlib/lines.py:130(__init__)
        1    0.002    0.002    5.749    5.749 dektakWithoutMain.py:359(amplitude_and_phase_FFT)
2126/1750    0.069    0.000    5.744    0.003 /usr/lib/pymodules/python2.7/matplotlib/axis.py:63(__init__)
       94    0.005    0.000    5.410    0.058 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1042(draw)
   638182    5.194    0.000    5.194    0.000 {numpy.core.multiarray.array}
       47    0.001    0.000    4.581    0.097 /usr/lib/pymodules/python2.7/matplotlib/figure.py:819(add_subplot)
       47    0.001    0.000    4.566    0.097 /usr/lib/pymodules/python2.7/matplotlib/axes.py:8947(__init__)
       47    0.003    0.000    4.547    0.097 /usr/lib/pymodules/python2.7/matplotlib/axes.py:366(__init__)
